Codigo;Rubro;Detalle Articulo;Minorista;Mayorista;AMODIL;EL TANO;VIVANCO;GLORIAS;POMPEYA;BRAZZI;JUANCHOS;GUERE GUERE/ABUELO;TUTTO SAN FER;RINCON / LINIERS;JOAQUIN CHINO;VILLA TERRA;;;Costeo Mercaderia sin MO;Gastos Generales Sacado del informe mensual;Costo Total ;;;;;;;;;
0022;PANES;MIGÑON; $ 3.300,00 ; $ 1.980,00 ; $ 2.090,00 ; $ -   ; $ 1.760,00 ; $ 1.870,00 ; $ 1.980,00 ; $ 2.090,00 ; $ 1.650,00 ; $ -   ; $ 2.090,00 ; $ 1.430,00 ; $ 1.540,00 ; $ 1.650,00 ;;; $ 599,59 ; $ 149,90 ; $ 749,48 ;;;0022;PANES;MIGÑON;;;;
0023;PANES;BAGUETIN; $ 3.300,00 ; $ 1.980,00 ; $ 2.090,00 ; $ 1.650,00 ; $ 1.760,00 ; $ 1.870,00 ; $ 1.980,00 ; $ 2.090,00 ; $ 1.650,00 ; $ -   ; $ 2.090,00 ; $ 1.430,00 ; $ 1.540,00 ; $ 1.650,00 ;;; $ 599,59 ; $ 149,90 ; $ 749,48 ;;;0023;PANES;BAGUETIN;;;;
0024;PANES;MILONGA; $ 3.300,00 ; $ 1.980,00 ; $ 2.090,00 ; $ -   ; $ 1.760,00 ; $ 1.870,00 ; $ 1.980,00 ; $ 2.090,00 ; $ 1.650,00 ; $ -   ; $ 2.090,00 ; $ 1.430,00 ; $ 1.540,00 ; $ 1.650,00 ;;; $ 599,59 ; $ 149,90 ; $ 749,48 ;;;0024;PANES;MILONGA;;;;
0030;PANES;PAN BRIOCHE CON SEMILLAS; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 3.190,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ;;; $ -   ;;;;;0030;PANES;PAN BRIOCHE CON SEMILLAS;;;;
0031;PANES;BAGUETTE LARGAS RUSTICAS BLANCAS (PAN DE CAMPO LARGO BLANCO); $ 7.600,00 ; $ 2.310,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 2.530,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 3.800,00 ;;; $ 1.223,58 ;;;;;0031;PANES;BAGUETTE LARGAS RUSTICAS BLANCAS (PAN DE CAMPO LARGO BLANCO);;;;
0032;PANES;BAGUETTE LARGAS RUSTICAS NEGRA (PAN DE CAMPO LARGO NEGRO); $ 7.600,00 ; $ 2.310,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 2.530,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 3.800,00 ;;; $ 1.223,58 ;;;;;0032;PANES;BAGUETTE LARGAS RUSTICAS NEGRA (PAN DE CAMPO LARGO NEGRO);;;;
0034;PANES;PAN REDONDO NEGRO GRANDE; $ 9.600,00 ; $ 6.050,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 6.050,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 4.800,00 ;;; $ 1.529,47 ;;;;;0034;PANES;PAN REDONDO NEGRO GRANDE;;;;
0035;PANES;PAN REDONDO BLANCO GRANDE; $ 9.600,00 ; $ 6.050,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 6.050,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 4.800,00 ;;; $ 1.529,47 ;;;;;0035;PANES;PAN REDONDO BLANCO GRANDE;;;;
0036;PANES;ZEPELLING DOBLE GRANDE BLANCO; $ 9.600,00 ; $ 6.050,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 6.050,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 4.800,00 ;;;  ;;;;;0036;PANES;ZEPELLING DOBLE GRANDE BLANCO;;;;
0037;PANES;ZEPELLING DOBLE GRANDE NEGRO; $ 9.600,00 ; $ 6.050,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 6.050,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 4.800,00 ;;;  ;;;;;0037;PANES;ZEPELLING DOBLE GRANDE NEGRO;;;;
0038;PANES;ROCETAS; $ 6.200,00 ; $ 5.500,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 2.750,00 ; $ -   ; $ 3.100,00 ;;;  ;;;;;0038;PANES;ROCETAS;;;;
0039;PANES;FIGASAS SABORIZADA; $ 7.200,00 ; $ 6.380,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 3.080,00 ; $ -   ; $ 3.600,00 ;;;  ;;;;;0039;PANES;FIGASAS SABORIZADA;;;;
;;PAN P/ SANDWICHES; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ;;;  ;  ;  ;;;;;PAN P/ SANDWICHES;;;;
0101;PAN P/ SANDWICHES;ZAPATILLAS X UNIDAD; $ 700,00 ; $ 605,00 ; $ -   ; $ -   ; $ 583,00 ; $ 1.980,00 ; $ -   ; $ 550,00 ; $ -   ; $ 352,00 ; $ 583,00 ; $ 473,00 ; $ 352,00 ; $ 350,00 ;;; $ 146,67 ; $ 36,67 ; $ 183,34 ;;;0101;PAN P/ SANDWICHES;ZAPATILLAS X UNIDAD;;;;
0102;PAN P/ SANDWICHES;ARABE X UNIDAD; $ 700,00 ; $ 385,00 ; $ 275,00 ; $ -   ; $ 473,00 ; $ 1.980,00 ; $ 352,00 ; $ 352,00 ; $ -   ; $ 352,00 ; $ 352,00 ; $ 473,00 ; $ 352,00 ; $ 350,00 ;;; $ 40,29 ; $ 10,07 ; $ 50,36 ;;;0102;PAN P/ SANDWICHES;ARABE X UNIDAD;;;;
0103;PAN P/ SANDWICHES;PEBETE X UNIDAD; $ 700,00 ; $ 385,00 ; $ 605,00 ; $ -   ; $ -   ; $ 352,00 ; $ 352,00 ; $ 352,00 ; $ 440,00 ; $ 352,00 ; $ 352,00 ; $ 473,00 ; $ 352,00 ; $ 350,00 ;;; $ 50,58 ; $ 12,65 ; $ 63,23 ;;;0103;PAN P/ SANDWICHES;PEBETE X UNIDAD;;;;
0104;PAN P/ SANDWICHES;PEBETE X DOCENA; $ 6.200,00 ; $ 4.180,00 ; $ 3.960,00 ; $ 3.520,00 ; $ -   ; $ -   ; $ 3.190,00 ; $ -   ; $ -   ; $ 4.840,00 ; $ -   ; $ 3.630,00 ; $ 1.320,00 ; $ 3.100,00 ;;; $ 606,96 ; $ 151,74 ; $ 758,70 ;;;0104;PAN P/ SANDWICHES;PEBETE X DOCENA;;;;
0120;PAN P/ SANDWICHES;PEBETE GRANDE X UNIDAD; $ 700,00 ; $ 605,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 350,00 ;;; $ -   ; $ -   ; $ -   ;;;0120;PAN P/ SANDWICHES;PEBETE GRANDE X UNIDAD;;;;
0121;PAN P/ SANDWICHES;PEBETE GRANDE X DOCENA; $ 7.200,00 ; $ 6.270,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 3.600,00 ;;; $ -   ; $ -   ; $ -   ;;;0121;PAN P/ SANDWICHES;PEBETE GRANDE X DOCENA;;;;
0105;PAN P/ SANDWICHES;SUPER PANCHO X UNIDAD; $ 300,00 ; $ 330,00 ; $ -   ; $ -   ; $ -   ; $ 330,00 ; $ 550,00 ; $ 550,00 ; $ 440,00 ; $ 220,00 ; $ -   ; $ 220,00 ; $ 220,00 ; $ 150,00 ;;; $ 96,99 ; $ 24,25 ; $ 121,24 ;;;0105;PAN P/ SANDWICHES;SUPER PANCHO X UNIDAD;;;;
0106;PAN P/ SANDWICHES;SUPER PANCHO X DOCENA; $ 3.900,00 ; $ 3.630,00 ; $ -   ; $ 3.190,00 ; $ -   ; $ 4.620,00 ; $ 3.190,00 ; $ 3.300,00 ; $ -   ; $ 3.300,00 ; $ 3.300,00 ; $ 2.200,00 ; $ 3.740,00 ; $ 1.950,00 ;;; $ 1.163,87 ; $ 290,97 ; $ 1.454,83 ;;;0106;PAN P/ SANDWICHES;SUPER PANCHO X DOCENA;;;;
0107;PAN P/ SANDWICHES;SUPER PANCHO X 6; $ 2.200,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 2.530,00 ; $ -   ; $ 1.430,00 ; $ 2.750,00 ; $ 1.100,00 ;;; $ 581,93 ; $ 145,48 ; $ 727,42 ;;;0107;PAN P/ SANDWICHES;SUPER PANCHO X 6;;;;
0113;PAN P/ SANDWICHES;PANCHO CHICO X UNIDAD; $ 300,00 ; $ 440,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ 440,00 ; $ -   ; $ 220,00 ; $ 330,00 ; $ 440,00 ; $ -   ; $ 550,00 ; $ 150,00 ;;; $ 32,33 ; $ 8,08 ; $ 40,41 ;;;0113;PAN P/ SANDWICHES;PANCHO CHICO X UNIDAD;;;;
0114;PAN P/ SANDWICHES;PANCHO CHICO X 6; $ 1.500,00 ; $ 2.310,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 2.310,00 ; $ 2.310,00 ; $ 1.320,00 ; $ 2.750,00 ; $ 750,00 ;;; $ -   ; $ -   ; $ -   ;;;0114;PAN P/ SANDWICHES;PANCHO CHICO X 6;;;;
0115;PAN P/ SANDWICHES;PANCHO CHICO X 12; $ 3.600,00 ; $ 2.970,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ 2.750,00 ; $ -   ; $ -   ; $ 2.860,00 ; $ 2.860,00 ; $ 1.760,00 ; $ 3.080,00 ; $ 1.800,00 ;;; $ 387,96 ; $ 96,99 ; $ 484,94 ;;;0115;PAN P/ SANDWICHES;PANCHO CHICO X 12;;;;
0108;PAN P/ SANDWICHES;HAMBURGUESA CHICA X UNIDAD; $ 700,00 ; $ 385,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 350,00 ;;; $ -   ; $ -   ; $ -   ;;;0108;PAN P/ SANDWICHES;HAMBURGUESA CHICA X UNIDAD;;;;
0109;PAN P/ SANDWICHES;HAMBURGUESA CHICA CON SEMILLAS; $ 6.200,00 ; $ 3.080,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 3.190,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 3.100,00 ;;; $ 1.219,87 ; $ 304,97 ; $ 1.524,84 ;;;0109;PAN P/ SANDWICHES;HAMBURGUESA CHICA CON SEMILLAS;;;;
0110;PAN P/ SANDWICHES;HAMBURGUESA CHICA X 6; $ 3.600,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 1.540,00 ; $ -   ; $ 1.800,00 ;;; $ -   ; $ -   ; $ -   ;;;0110;PAN P/ SANDWICHES;HAMBURGUESA CHICA X 6;;;;
0111;PAN P/ SANDWICHES;HAMBURGUESA GRANDE X UNIDAD; $ 700,00 ; $ 385,00 ; $ 4.180,00 ; $ -   ; $ -   ; $ 352,00 ; $ -   ; $ -   ; $ -   ; $ 352,00 ; $ 352,00 ; $ 473,00 ; $ 352,00 ; $ 350,00 ;;; $ 97,10 ; $ 24,28 ; $ 121,38 ;;;0111;PAN P/ SANDWICHES;HAMBURGUESA GRANDE X UNIDAD;;;;
0112;PAN P/ SANDWICHES;HAMBURGUESA GRANDE X 6; $ 3.900,00 ; $ 2.530,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 1.950,00 ;;; $ 582,63 ; $ 145,66 ; $ 728,28 ;;;0112;PAN P/ SANDWICHES;HAMBURGUESA GRANDE X 6;;;;
0125;PAN P/ SANDWICHES;HAMBURGUESA TIPO BIMBO; $ 700,00 ; $ 605,00 ; $ -   ; $ -   ; $ -   ; $ 352,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 330,00 ; $ -   ; $ 350,00 ;;; $ 165,01 ;;;;;0125;PAN P/ SANDWICHES;HAMBURGUESA TIPO BIMBO;;;;
0116;PAN P/ SANDWICHES;BAGEL X 2; $ 1.900,00 ; $ 825,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 583,00 ; $ -   ; $ 950,00 ;;; $ 140,24 ; $ 35,06 ; $ 175,30 ;;;0116;PAN P/ SANDWICHES;BAGEL X 2;;;;
0117;PAN P/ SANDWICHES;PAN DE PAPA C/SEMILLA X UNIDAD; $ 1.200,00 ; $ 715,00 ; $ -   ; $ -   ; $ -   ; $ 825,00 ; $ -   ; $ -   ; $ -   ; $ 704,00 ; $ 693,00 ; $ 583,00 ; $ 825,00 ; $ 600,00 ;;; $ 306,78 ; $ 76,69 ; $ 383,47 ;;;0117;PAN P/ SANDWICHES;PAN DE PAPA C/SEMILLA X UNIDAD;;;;
0118;PAN P/ SANDWICHES;PAN DE PAPA  C/SEMILLA X 2; $ 1.500,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 750,00 ;;; $ 613,56 ; $ 153,39 ; $ 766,95 ;;;0118;PAN P/ SANDWICHES;PAN DE PAPA  C/SEMILLA X 2;;;;
0119;PAN P/ SANDWICHES;PAN DE PAPA CON SEMILLA X 6; $ 4.700,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 2.350,00 ;;; $ 1.840,68 ; $ 460,17 ; $ 2.300,84 ;;;0119;PAN P/ SANDWICHES;PAN DE PAPA CON SEMILLA X 6;;;;
0122;PAN P/ SANDWICHES;PAN DE PAPA X UNIDAD CON QUESO; $ 1.400,00 ; $ 825,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 825,00 ; $ -   ; $ 700,00 ;;; $ 439,47 ; $ 109,87 ; $ 549,33 ;;;0122;PAN P/ SANDWICHES;PAN DE PAPA X UNIDAD CON QUESO;;;;
0123;PAN P/ SANDWICHES;ARABE POR DOCENA; $ 2.000,00 ; $ -   ; $ -   ; $ 2.420,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 1.000,00 ;;; $ 878,93 ; $ 219,73 ; $ 1.098,66 ;;;0123;PAN P/ SANDWICHES;ARABE POR DOCENA;;;;
0124;PAN P/ SANDWICHES;PAN DE PAPA CON QUESO X 12; $ 8.000,00 ; $ -   ; $ -   ; $ 4.510,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 4.000,00 ;;; $ 3.955,19 ; $ 988,80 ; $ 4.943,99 ;;;0124;PAN P/ SANDWICHES;PAN DE PAPA CON QUESO X 12;;;;
0126;PAN P/ SANDWICHES;CROISANTS POR DOCENA;; $ -   ; $ -   ; $ 8.030,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ;;;  ;;;;;0126;PAN P/ SANDWICHES;CROISANTS POR DOCENA;;;;
0127;PAN P/ SANDWICHES;PAN DE CHORI VIENA X KG; $ -   ; $ -   ; $ 2.750,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ;;;  ;;;;;0127;PAN P/ SANDWICHES;PAN DE CHORI VIENA X KG;;;;
;;ESPECIALES; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ;;;  ;  ;  ;;;;;ESPECIALES;;;;
0217;ESPECIALES;PAN DE MIGA; $ 23.200,00 ; $ 13.750,00 ; $ -   ; $ -   ; $ 15.400,00 ; $ 15.400,00 ; $ -   ; $ 15.400,00 ; $ 16.500,00 ; $ 16.280,00 ; $ -   ; $ -   ; $ 17.820,00 ; $ 11.600,00 ;;; $ -   ; $ -   ; $ -   ;;;0217;ESPECIALES;PAN DE MIGA;;;;
0201;ESPECIALES;CROISSANT X UNIDAD; $ 1.500,00 ; $ 715,00 ; $ -   ; $ -   ; $ -   ; $ 825,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 583,00 ; $ -   ; $ 750,00 ;;; $ 196,92 ; $ 49,23 ; $ 246,15 ;;;0201;ESPECIALES;CROISSANT X UNIDAD;;;;
0202;ESPECIALES;CROISSANT X  2; $ 2.000,00 ; $ 1.430,00 ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 1.000,00 ;;; $ 393,84 ; $ 98,46 ; $ 492,30 ;;;0202;ESPECIALES;CROISSANT X  2;;;;
