1;2;3;4;5;6;7;;;;;;;
088;La Casona;5;;;;;;;;;;;
089;Club Nautico Albatros Victoria;5;URUGUAY Y EL RIO, BECCAR;;;;;;;;;6:30/7:30hs;3
090;Dietetica KATI;5;Bordeiu 411;;;;;;;;;;
091;Fariña;5;BARTOLOME MITRE 442, TIGRE;;;;;;;;;11/12hs;3
092;Yaquelin;5;Lugones 1584, entre Williams y Garibaldi;;;;;;;;;;
093;ANTOJOS CALENTITOS DIEGO;13;COLON 1382, CANAL;;;;;;;;;;
094;PAN - DIEGO;13;FRENCH 1135, SAN FERNANDO;;;;;;;;;;
095;Almacen Gaby;12;RETIRA MOSTRADOR;;;;;;;;;;
096;Javier Hostel;5;RETIRA MOSTRADOR;;;112640-4169;;;;;;;
097;MORELUCK;5;Carlos Noel 250;;;;;;;;;8:30/9:30hs;3
098;PATRICIA SANDWICHERIA;5;;;;;;;;;;;
099;ITU - MICAELA MARIN;10;ITUZAINGO 3626S SAN FERNANDO;;;1125771478;;;;;;;
100;LA CREMONA 2;5;"AVELLANEDA 2904; LAS TROPAS";;;;;;;;;6:30/7:30hs;3
101;LA FRONTERA - CAFÉ;5;Sarmiento 77;;;;;;;;;9/10hs;2
102;El Rey De La Hamburguesa;5;RETIRA;;;1162700502;;efectivo;;;;;
103;BERLINA - MATIAS;5;RETIRA;;;+54 9 11 3013-6288;;efectivo;;;;;
104;Sushi Town Martinez;5;;;;;;;;;;;
105;Almacen Itu;5;;;;;;;;;;;
106;Boatshare-Amarras del Norte;5;Paseo del Arca 39 San Fernando;;;;;;;;;6:30/7:30hs;3
107;Almacen Colibri;5;Guareschi 79 ;;;;;;;;;;
108;KANOO - RESTO;5;RETIRAN;;;1151617678;;;;;;;
109;Lo de Coqui;5;Constitucion 82;;;;;;;;;10/11hs;3
110;Torres JAI;5;;;;;;;;;;;
111;HELADERIA TACUARA;5;CONSTITUYENTES 1082, ESQUINA ZAPIOLA;;;1164446311;;;;;;RETIRA;
112;LA FILATA 2;5;Brandsen 1195 ;;; 11 3113-5483;;;;;;6:30/7:30HS;3
113;CASA ALBARDON (GUARDERIA);5;LUIS PEREYRA 2, TIGRE;;;1162628432;;;;;;;
114;EL JEFE ROTISERIA ;5;Constitución 2342, 4 piso A, 1 módulo;;;1125370918;;12HS ABRE;;;;10/11hs;3
115;PUMA;5;;;;;;;;;;;
116;GASTON CARMONA;5;RETIRA MOSTRADOR;;;;;;;;;;
117;PARRILLA DON EMILIO;5;RETIRA MOSTRADOR;;;;;;;;;;
118;PORTOPANE;5;GUARESCHI 58;;;;;;;;;;
119;MAREMMA;5;ITALIA 1602;;;;;;;;;11/12hs;2
120;STURLA;5;;;;;;;;;;;
121;BREE (house del barrio) ;5;Echeverría 1200, Pacheco;;;TALAR LAGO 1;;;11 3756-2075;;;;
122;ROMINA;5;Solis 1261;;;;;;;;;8/9hs;2
123;ELENA - PANADERIA EL TANO;5;Carlos Gardel 157;;;11 6542-2574;;;;;;RETIRA 7hs;
124;HURLINGHAM;16;Av Arturo Jauretche 1589;;;1138298097;;;;;;11/12hs;2
125;ROCHA;13;;;;;;;;;;11/12hs;3
126;TUTTO VIRREYES;5;avellaneda 2625;;;;;;;;;6:30/7hs;3
127;PIZERIA LUZ - DANIELA;5;RETIRA MOSTRADOR;;;1134437807;;;;;;6:30/7hs;
128;LA JUANITA;5;9 DE JULIO Y 3 DE FEBRERO - SAN FERNANDO;;;1123987652;;EFECTIVO;;;;9/10HS;
129;CHINO  (El Jefe);5;;;;;;;;;;;
130;GRANJA TRES AMORES - NICO;5;JOSE MARTI 986 (FRENTE AL ACA);;;1151383899;;EFECTIVO;;;;8:30/9HS;
131;TIENDA PAN RINCON;15;JOSE C PAZ Y 9 DE JULIO;;;;;;;;;06:30;
132;HACOAJ CATERING;5;BOYERO AL FONDO ;;;1157450336;;ABONA;;;;8/8:30;
133;MEMENA HELADE - TORCUA;5;ALVEAR 2423 - TORCUATO MALL ;;;1152496599;;ABONA;;;;11/13HS;3
134;JOAQUIN CHINO;16;3 DE FEBRERO 282 (FRENTE A LA FILATA);;;;;;;;;;
135;PARETO CAFÉ;5;CONSTITUCION 1175;;;;;;;;;;
136;PAN Y HOJALDRE;5;GARIBALDI 721 RINCON;;;1131436133;;EFECTIVO;;;;6/7AM;
137;Chapaleo;6;;;;;;;;;;;
138;ZI TEREZA;5;Av. Italia 1579;;;47310425;;;;;;9hs;
139;TIGRE MARKET 2;5;ROCHA 786;;;;;;;;;;
140;BIG ROGER;5;PUERTO DE FRUTOS;;;1163973967;;;;;;10hs;
141;COSTA TIGRE ;9;ESTACION FLUVIAL;;;1151171315;;;;;;8/10HS;
142;BREAK COFFE SHOP;5;Av Peron 501;;;;;;;;;;
143;Chino Mitre;5;Emilio Mitre 450 SF;;;1137945055;;;;;;8AM;
144;EL VIEJO ALMACEN - NATALIA;5;GARIBALDI 1591 - RINCON;;RETIRA POR ROCHA ;1153777080;;EFECTIVO;;;;7:30AM;
145;Tigre Market SANFER;7;Lavalle 1350 San Fernando;;;;;;;;;;
146;Suma Activa;5;Pedro Guareschi 22;;;;;;;;;;
147;Timbo Delta;5;LLEVARA A ITALIA 7 AM;;;;;;;;;;
148;Parrilla cloe;5;Sarmiento 130;;;;;;;;;;
149;Rincon de Sabores;5;Av. Santa Maria 2841;;;;;;;;;8/9hs;
150;BRUNE PASTELERIA;5;AV. Agustin garcia 6385 -  local 20;;RETIRA POR ROCHA;1168130507;;ABONA;;;;9:30HS;
151;TOTO ROSALES;5;REITRA POR ROCHA;;REITRA POR ROCHA;1130054989;;CC;EFECT;SI, SUMARLE 21%;;;
152;ISLA CENTENARIO;5;AMARRA PUBLICA HUGO CARRIL;;;1169911322;;ABONA;EEECT;;;;
153;Brazzi Escuelas;12;ITUZAINGO 1876, SAN FERNANDO;17;Envio saldo los Lunes temprano;1169021207 Pablo;CC;Semanal;Transferencia;Semanal;A;;
154;LA AMISTAD ;5;GUEMES 3119, ESQ IRALA;;;11-5796-7954;;ABONA;;;;8/9HS;
155;LILIANA BEATRIZ;5;MONTES DE OCA 464;;;11-3490-6493;CC;SEMANAL;TRANSFERENCIA;FACTURA A 27-12141725-7;;8HS;
156;DAMIAN CIRO;;URUGUAY 771, TIGRE;;;11-6460-4355;CC;SEMANAL;;;;;
157;POMPEYA PUERTO;10;SARMIENTO 160, LOCAL 172;;;11-6336-2559;CC;SEMANAL;;;;9/10HS;
200;VILLA TERRA;17;;;;;;;;;;;
900;Gaston;5;;1;;;;;;;;;
901;Federico;4;;0;;;;;;;;;
902;Alan;4;;0;;;;;;;;;
903;Angel;4;;0;;;;;;;;;
904;Gabriel Jerez;4;;0;;;;;;;;;
905;Gabriel R;4;;0;;;;;;;;;
906;Maxi;4;;0;;;;;;;;;
907;Juan P;4;;0;;;;;;;;;
908;Juan F;4;;0;;;;;;;;;
909;Sergio;4;;0;;;;;;;;;
910;Florencia;4;;0;;;;;;;;;
911;Sebastian Soriano;5;;1;;;;;;;;;
912;Agustin (Gusti);5;;1;;;;;;;;;
913;Agustina;4;;0;;;;;;;;;
914;Alejandra;4;;0;;;;;;;;;
915;Abril;4;;0;;;;;;;;;
916;Lolo;4;;0;;;;;;;;;
917;Facundo ;4;;0;;;;;;;;;
918;Ricardo;4;;0;;;;;;;;;
919;Aron;4;;0;;;;;;;;;
920;;;;;;;;;;;;;
921;;;;;;;;;;;;;
922;;;;;;;;;;;;;
923;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
